%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1536240442229720689,0.0,0.0,0.0,0.0,0.0,0.0
1536240442229781624,0.0,0.0,0.0,0.0,0.0,0.0
1536240442262988952,0.0,0.0,0.0,0.0,0.0,0.0
1536240442296378451,0.0,0.0,0.0,0.0,0.0,0.0
1536240442329693634,0.0,0.0,0.0,0.0,0.0,0.0
1536240442362976635,0.0,0.0,0.0,0.0,0.0,0.0
1536240442396337820,0.0,0.0,0.0,0.0,0.0,0.0
1536240442429890125,0.0,0.0,0.0,0.0,0.0,0.0
1536240442463056044,0.0,0.0,0.0,0.0,0.0,0.0
1536240442496356902,0.0,0.0,0.0,0.0,0.0,0.0
1536240442529669044,0.0,0.0,0.0,0.0,0.0,0.0
1536240442562980046,0.0,0.0,0.0,0.0,0.0,0.0
1536240442596452737,0.0,0.0,0.0,0.0,0.0,0.0
1536240442629860219,0.0745775997639,0.0,0.0,0.0,0.0,0.0
1536240442629891425,0.190612196922,0.0,0.0,0.0,0.0,0.0
1536240442629895789,0.455850154161,0.0,0.0,0.0,0.0,0.0
1536240442663043327,0.535845577717,0.0,0.0,0.0,0.0,0.0
1536240442663046906,0.668456554413,0.0,0.0,0.0,0.0,0.0
1536240442663053140,0.796939492226,0.0,0.0,0.0,0.0,0.0
1536240442663178625,0.912974059582,0.0,0.0,0.0,0.0,0.0
1536240442663365701,0.987567722797,0.0,0.0,0.0,0.0,0.0
1536240442696406181,1.0,0.0,0.0,0.0,0.0,0.0
1536240442729734695,1.0,0.0,0.0,0.0,0.0,0.0
1536240442763196135,1.0,0.0,0.0,0.0,0.0,0.0
1536240442796449074,1.0,0.0,0.0,0.0,0.0,0.0
1536240442829711875,1.0,0.0,0.0,0.0,0.0,0.0
1536240442863121092,1.0,0.0,0.0,0.0,0.0,0.0
1536240442896355259,1.0,0.0,0.0,0.0,0.0,0.0
1536240442929747499,1.0,0.0,0.0,0.0,0.0,0.0
1536240442963287479,1.0,0.0,0.0,0.0,0.0,0.0
1536240442997247121,1.0,0.0,0.0,0.0,0.0,0.0
1536240443029686771,1.0,0.0,0.0,0.0,0.0,0.0
1536240443063063197,1.0,0.0,0.0,0.0,0.0,0.0
1536240443096506971,1.0,0.0,0.0,0.0,0.0,0.0
1536240443129776616,1.0,0.0,0.0,0.0,0.0,0.0
1536240443163347655,1.0,0.0,0.0,0.0,0.0,0.0
1536240443196572331,1.0,0.0,0.0,0.0,0.0,0.0
1536240443229808430,1.0,0.0,0.0,0.0,0.0,0.0
1536240443263140586,1.0,0.0,0.0,0.0,0.0,0.0
1536240443296440756,1.0,0.0,0.0,0.0,0.0,0.0
1536240443329809378,1.0,0.0,0.0,0.0,0.0,0.0
1536240443363060434,1.0,0.0,0.0,0.0,0.0,0.0
1536240443396358202,1.0,0.0,0.0,0.0,0.0,0.0
1536240443429640304,1.0,0.0,0.0,0.0,0.0,0.0
1536240443463121651,1.0,0.0,0.0,0.0,0.0,0.0
1536240443496616478,1.0,0.0,0.0,0.0,0.0,0.0
1536240443529917301,1.0,0.0,0.0,0.0,0.0,0.0
1536240443562964125,1.0,0.0,0.0,0.0,0.0,0.0
1536240443596282807,1.0,0.0,0.0,0.0,0.0,0.0
1536240443632804671,1.0,0.0,0.0,0.0,0.0,0.0
1536240443663239915,1.0,0.0,0.0,0.0,0.0,0.0
1536240443696399305,1.0,0.0,0.0,0.0,0.0,0.0
1536240443729697710,1.0,0.0,0.0,0.0,0.0,0.0
1536240443763262495,1.0,0.0,0.0,0.0,0.0,0.0
1536240443796383526,1.0,0.0,0.0,0.0,0.0,0.0
1536240443829840911,1.0,0.0,0.0,0.0,0.0,0.0
1536240443862972175,1.0,0.0,0.0,0.0,0.0,0.0
1536240443896332997,1.0,0.0,0.0,0.0,0.0,0.0
1536240443929647286,1.0,0.0,0.0,0.0,0.0,0.0
1536240443962916426,1.0,0.0,0.0,0.0,0.0,0.0
1536240443996283384,1.0,0.0,0.0,0.0,0.0,0.0
1536240444029645274,1.0,0.0,0.0,0.0,0.0,0.0
1536240444062926343,1.0,0.0,0.0,0.0,0.0,0.0
1536240444096343292,1.0,0.0,0.0,0.0,0.0,0.0
1536240444129869934,1.0,0.0,0.0,0.0,0.0,0.0
1536240444162997236,1.0,0.0,0.0,0.0,0.0,0.0
1536240444196309015,1.0,0.0,0.0,0.0,0.0,0.0
1536240444229686733,1.0,0.0,0.0,0.0,0.0,0.0
1536240444263076613,1.0,0.0,0.0,0.0,0.0,0.0
1536240444296338725,1.0,0.0,0.0,0.0,0.0,0.0
1536240444329680895,1.0,0.0,0.0,0.0,0.0,0.0
1536240444362884239,1.0,0.0,0.0,0.0,0.0,0.0
1536240444396383562,1.0,0.0,0.0,0.0,0.0,0.0
1536240444429611091,1.0,0.0,0.0,0.0,0.0,0.0
1536240444462962477,1.0,0.0,0.0,0.0,0.0,0.0
1536240444496341877,1.0,0.0,0.0,0.0,0.0,0.0
1536240444529671879,1.0,0.0,0.0,0.0,0.0,0.0
1536240444563049554,1.0,0.0,0.0,0.0,0.0,0.0
1536240444596545171,1.0,0.0,0.0,0.0,0.0,0.0
1536240444629754183,1.0,0.0,0.0,0.0,0.0,0.0
1536240444662972254,1.0,0.0,0.0,0.0,0.0,0.0
1536240444696404880,1.0,0.0,0.0,0.0,0.0,0.0
1536240444729792643,1.0,0.0,0.0,0.0,0.0,0.0
1536240444763163892,1.0,0.0,0.0,0.0,0.0,0.0
1536240444796378240,1.0,0.0,0.0,0.0,0.0,0.0
1536240444829719414,1.0,0.0,0.0,0.0,0.0,0.0
1536240444863054502,1.0,0.0,0.0,0.0,0.0,0.0
1536240444896325172,1.0,0.0,0.0,0.0,0.0,0.0
1536240444929659212,1.0,0.0,0.0,0.0,0.0,0.0
1536240444963014861,1.0,0.0,0.0,0.0,0.0,0.0
1536240444996354831,1.0,0.0,0.0,0.0,0.0,0.0
1536240445029590872,1.0,0.0,0.0,0.0,0.0,0.0
1536240445062950603,1.0,0.0,0.0,0.0,0.0,0.0
1536240445096281348,1.0,0.0,0.0,0.0,0.0,0.0
1536240445129591478,1.0,0.0,0.0,0.0,0.0,0.0
1536240445162978923,1.0,0.0,0.0,0.0,0.0,0.0
1536240445196278088,1.0,0.0,0.0,0.0,0.0,0.0
1536240445229594592,1.0,0.0,0.0,0.0,0.0,0.0
1536240445263084541,1.0,0.0,0.0,0.0,0.0,0.0
1536240445296288179,1.0,0.0,0.0,0.0,0.0,0.0
1536240445329658641,1.0,0.0,0.0,0.0,0.0,0.0
1536240445362958707,1.0,0.0,0.0,0.0,0.0,0.0
1536240445396324512,1.0,0.0,0.0,0.0,0.0,0.0
1536240445429745295,1.0,0.0,0.0,0.0,0.0,0.0
1536240445462952457,1.0,0.0,0.0,0.0,0.0,0.0
1536240445496358375,1.0,0.0,0.0,0.0,0.0,0.0
1536240445529776938,1.0,0.0,0.0,0.0,0.0,0.0
1536240445563021439,1.0,0.0,0.0,0.0,0.0,0.0
1536240445596554376,1.0,0.0,0.0,0.0,0.0,0.0
1536240445629640597,1.0,0.0,0.0,0.0,0.0,0.0
1536240445663014326,1.0,0.0,0.0,0.0,0.0,0.0
1536240445696537115,1.0,0.0,0.0,0.0,0.0,0.0
1536240445729799095,1.0,0.0,0.0,0.0,0.0,0.0
1536240445763093102,1.0,0.0,0.0,0.0,0.0,0.0
1536240445796306806,1.0,0.0,0.0,0.0,0.0,0.0
