%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1536680816154464226,2293,1536680816147245651,Quadricopter_base,-0.00860033836216,0.00299345888197,-0.0267469882965,-0.169303700328,0.0660209730268,-0.0108997663483
1536680816184883993,2294,1536680816177596512,Quadricopter_base,-0.00955259427428,0.00264547020197,-0.0231599807739,-0.0048521598801,-0.019144859165,-0.00944890547544
1536680816215181029,2295,1536680816207931381,Quadricopter_base,-0.0119646042585,0.00552131887525,-0.0203919410706,0.301486611366,-0.033923022449,-0.00620966218412
1536680816245305028,2296,1536680816237940802,Quadricopter_base,-0.0127792581916,-0.00235573598184,-0.0163745880127,0.0420621447265,0.0562382265925,-0.0112990019843
1536680816275484376,2297,1536680816268121548,Quadricopter_base,-0.0106723736972,-0.0135904941708,-0.0114870071411,-0.244698897004,0.0364819280803,-0.0155089572072
1536680816307032126,2298,1536680816299587004,Quadricopter_base,-0.00943248160183,-0.0151163060218,0.000247955293162,0.0386006161571,-0.0830161944032,-0.0128908529878
1536680816338183857,2299,1536680816330798989,Quadricopter_base,-0.0111870262772,-0.0167155843228,0.00262498855591,0.210042312741,-0.0162681695074,-0.00552932638675
1536680816369119661,2300,1536680816361971957,Quadricopter_base,-0.0124077470973,-0.0266500115395,0.000792741775513,-0.0241818241775,0.135148897767,0.00372018897906
1536680816399712212,2301,1536680816392491155,Quadricopter_base,-0.00924103520811,-0.0368773750961,-0.00811576843262,-0.247114568949,0.0713837742805,0.00666118506342
1536680816430764925,2302,1536680816423521745,Quadricopter_base,-0.00500962138176,-0.0380235388875,-0.0100719928741,-0.0743031799793,-0.109089508653,0.00261531304568
1536680816470344792,2303,1536680816462960773,Quadricopter_base,-0.00571619160473,-0.0365722998977,-0.0124621391296,0.136895909905,-0.0127461971715,-0.0016348939389
1536680816501137562,2304,1536680816493874236,Quadricopter_base,-0.00722153298557,-0.0405868552625,-0.0238955020905,0.0102933412418,0.178583323956,-0.00470804423094
1536680816535626988,2305,1536680816528425376,Quadricopter_base,-0.0032700560987,-0.0443723835051,-0.03777384758,-0.111567169428,0.103653602302,-0.00614846032113
1536680816571991894,2306,1536680816564649924,Quadricopter_base,0.0040947208181,-0.0429500937462,-0.0354492664337,-0.0217345580459,-0.087990693748,-0.0120951989666
1536680816603930849,2307,1536680816596380717,Quadricopter_base,0.00914102233946,-0.0409380160272,-0.038161277771,0.0501687526703,-0.112878941,-0.0135146845132
1536680816634666865,2308,1536680816627229793,Quadricopter_base,0.0106172449887,-0.0420699492097,-0.0423622131348,0.00838133320212,0.0166262108833,-0.0135249728337
1536680816669855702,2309,1536680816662156521,Quadricopter_base,0.0120717659593,-0.0442683771253,-0.0334167480469,-0.0594458431005,0.0977622121572,-0.0123879685998
1536680816701508785,2310,1536680816694121609,Quadricopter_base,0.0160934943706,-0.0442788079381,-0.0153529644012,-0.081743106246,0.0441692918539,-0.00805777311325
1536680816732547975,2311,1536680816724995056,Quadricopter_base,0.0212759431452,-0.0408125892282,-0.0116276741028,-0.00481021543965,-0.0663741156459,-0.00843991432339
1536680816765403129,2312,1536680816758240449,Quadricopter_base,0.0251259021461,-0.0378298312426,-0.0109672546387,-0.0194976869971,-0.0914814174175,-0.00630414532498
1536680816800073994,2313,1536680816792804787,Quadricopter_base,0.0257885418832,-0.0369080975652,-0.014955997467,-0.134338200092,0.0307186506689,-0.000922312960029
1536680816834660930,2314,1536680816827434120,Quadricopter_base,0.0245116353035,-0.0321829356253,-0.0202000141144,-0.0573371201754,0.152397125959,-0.00341903744265
1536680816866116572,2315,1536680816858925116,Quadricopter_base,0.0269707739353,-0.0228554196656,-0.0277626514435,0.10147920996,0.0370647720993,-0.0102624502033
1536680816898336036,2316,1536680816891059115,Quadricopter_base,0.0324430763721,-0.015433030203,-0.0301671028137,0.0713323205709,-0.0703917518258,-0.0138972494751
1536680816933698774,2317,1536680816926626332,Quadricopter_base,0.0366152487695,-0.0121928993613,-0.0351238250732,-0.0895632356405,-0.000777709763497,-0.0165981780738
1536680816967193228,2318,1536680816959934351,Quadricopter_base,0.0399495661259,-0.00517086498439,-0.0348722934723,0.043883472681,-0.0361855924129,-0.0177823808044
1536680817004184687,2319,1536680816996131702,Quadricopter_base,0.0427272208035,0.00206928234547,-0.0341784954071,0.179871350527,-0.0766093358397,-0.0171989034861
1536680817037225021,2320,1536680817029256695,Quadricopter_base,0.0460489802063,0.000988165847957,-0.0314009189606,-0.11954151839,-0.0499959588051,-0.013405685313
