%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1536679260545157828,0.0,0.0,0.0,0.0,0.0,0.0
1536679260578522925,0.0,0.0,0.0,0.0,0.0,0.0
1536679260612100743,0.0,0.0,0.0,0.0,0.0,0.0
1536679260645494736,0.0,0.0,0.0,0.0,0.0,0.0
1536679260678952999,0.0,0.0,0.0,0.0,0.0,0.0
1536679260712272893,0.0,0.0,0.0,0.0,0.0,0.0
1536679260745890889,0.0,0.0,0.0,0.0,0.0,0.0
1536679260779279720,0.0,0.0,0.0,0.0,0.0,0.0
1536679260812592132,0.0,0.0,0.0,0.0,0.0,0.0
1536679260845943303,0.0,0.0,0.0,0.0,0.0,0.0
1536679260879778056,0.0,0.0,0.0,0.0,0.0,0.0
1536679260913126703,0.0,0.0,0.0,0.0,0.0,0.0
1536679260946546612,0.0,0.0,0.0,0.0,0.0,0.0
1536679260979956501,0.0,0.0,0.0,0.0,0.0,0.0
1536679261013425158,0.0,0.0,0.0,0.0,0.0,0.0
1536679261047002469,0.0,0.0,0.0,0.0,0.0,0.0
1536679261080211392,0.0,0.0,0.0,0.0,0.0,0.0
1536679261114076081,0.0,0.0,0.0,0.0,0.0,0.0
1536679261147493971,0.0,0.0,0.0,0.0,0.0,0.0
1536679261180493535,0.0,0.0,0.0,0.0,0.0,0.0
1536679261213885953,0.0,0.0,0.0,0.0,0.0,0.0
1536679261247304793,0.0,0.0,0.0,0.0,0.0,0.0
1536679261280715886,0.0,0.0,0.0,0.0,0.0,0.0
1536679261314179443,0.0,0.0,0.0,0.0,0.0,0.0
1536679261347540897,0.0,0.0,0.0,0.0,0.0,0.0
1536679261381102206,0.0,0.0,0.0,0.0,0.0,0.0
1536679261414628668,0.0,0.0,0.0,0.0,0.0,0.0
1536679261447824855,0.0,0.0,0.0,0.0,0.0,0.0
1536679261481219723,0.0,0.0,0.0,0.0,0.0,0.0
1536679261515164886,0.0,0.0,0.0,0.0,0.0,0.0
1536679261548038740,0.0,0.0,0.0,0.0,0.0,0.0
1536679261581512028,0.0,0.0,0.0,0.0,0.0,0.0
1536679261615054792,0.0,0.0,0.0,0.0,0.0,0.0
1536679261648505949,0.0,0.0,0.0,0.0,0.0,0.0
1536679261681942249,0.0,0.0,0.0,0.0,0.0,0.0
1536679261715215142,0.0,0.0,0.0,0.0,0.0,0.0
1536679261748656914,0.0,0.0,0.0,0.0,0.0,0.0
1536679261782022644,0.0,0.0,0.0,0.0,0.0,0.0
1536679261815749745,0.0,0.0,0.0,0.0,0.0,0.0
1536679261849330724,0.0,0.0,0.0,0.0,0.0,0.0
1536679261882284561,0.0,0.0,0.0,0.0,0.0,0.0
1536679261915693525,0.0,0.0,0.0,0.0,0.0,0.0
1536679261949202020,0.0,0.0,0.0,0.0,0.0,0.0
1536679261982724358,0.0,0.0,0.0,0.0,0.0,0.0
1536679262016047434,0.0,0.0,0.0,0.0,0.0,0.0
1536679262049345870,0.0,0.0,0.0,0.0,0.0,0.0
1536679262083147988,0.0,0.0,0.0,0.0,0.0,0.0
1536679262116393050,0.0,0.0,0.0,0.0,0.0,0.0
1536679262149686435,0.0,0.0,0.0,0.0,0.0,0.0
1536679262183057601,0.0,0.0,0.0,0.0,0.0,0.0
1536679262216509533,0.0,0.0,0.0,0.0,0.0,0.0
1536679262249923256,0.0,0.0,0.0,0.0,0.0,0.0
1536679262259571961,-0.0952980518341,0.0,0.0,0.0,0.0,0.0
1536679262267269957,-0.22790902853,0.0,0.0,0.0,0.0,0.0
1536679262275302264,-0.360536038876,0.0,0.0,0.0,0.0,0.0
1536679262279254498,-0.493146985769,0.0,0.0,0.0,0.0,0.0
1536679262287236469,-0.568998336792,0.0,0.0,0.0,0.0,0.0
1536679262295445750,-0.701609253883,0.0,0.0,0.0,0.0,0.0
1536679262303322959,-0.834236264229,0.0,0.0,0.0,0.0,0.0
1536679262311467756,-0.946126818657,0.0,0.0,0.0,0.0,0.0
1536679262319266736,-1.0,0.0,0.0,0.0,0.0,0.0
1536679262352696553,-1.0,0.0,0.0,0.0,0.0,0.0
1536679262386149743,-1.0,0.0,0.0,0.0,0.0,0.0
1536679262407296077,-0.970991373062,0.0,0.0,0.0,0.0,0.0
1536679262415258341,-0.883965373039,0.0,0.0,0.0,0.0,0.0
1536679262419307318,-0.751354455948,0.0,0.0,0.0,0.0,0.0
1536679262427345920,-0.618727445602,0.0,0.0,0.0,0.0,0.0
1536679262435297674,-0.5,0.0,0.0,0.0,0.0,0.0
1536679262443127782,-0.410265147686,0.0,0.0,0.0,0.0,0.0
1536679262451300661,-0.27765417099,0.0,0.0,0.0,0.0,0.0
1536679262459265934,-0.145027160645,0.0,0.0,0.0,0.0,0.0
1536679262467481371,-0.041424870491,0.0,0.0,0.0,0.0,0.0
1536679262475208215,0.0,0.0,0.0,0.0,0.0,0.0
